,OnlyDate,Geographic Zone,Product,Quantity Ordered,Year,Month,Day,DayOfWeek,Lag1,Lag7
46,2019-01-04,New York City (NY),AAA Batteries (4-pack),6,2019,1,4,4,6.0,
43,2019-01-04,Dallas (TX),ThinkPad Laptop,2,2019,1,4,4,1.0,
42,2019-01-04,Dallas (TX),AAA Batteries (4-pack),3,2019,1,4,4,2.0,
41,2019-01-04,Boston (MA),ThinkPad Laptop,1,2019,1,4,4,1.0,
40,2019-01-04,Boston (MA),AAA Batteries (4-pack),7,2019,1,4,4,10.0,
39,2019-01-04,Atlanta (GA),ThinkPad Laptop,1,2019,1,4,4,1.0,
38,2019-01-04,Atlanta (GA),AAA Batteries (4-pack),3,2019,1,4,4,2.0,
44,2019-01-04,Los Angeles (CA),AAA Batteries (4-pack),3,2019,1,4,4,2.0,
58,2019-01-05,Dallas (TX),AAA Batteries (4-pack),9,2019,1,5,5,3.0,
64,2019-01-05,Seattle (WA),AAA Batteries (4-pack),1,2019,1,5,5,3.0,
63,2019-01-05,San Francisco (CA),ThinkPad Laptop,3,2019,1,5,5,2.0,
62,2019-01-05,San Francisco (CA),AAA Batteries (4-pack),17,2019,1,5,5,14.0,
61,2019-01-05,New York City (NY),AAA Batteries (4-pack),10,2019,1,5,5,6.0,
60,2019-01-05,Los Angeles (CA),ThinkPad Laptop,2,2019,1,5,5,1.0,
56,2019-01-05,Boston (MA),AAA Batteries (4-pack),7,2019,1,5,5,7.0,
57,2019-01-05,Boston (MA),ThinkPad Laptop,1,2019,1,5,5,1.0,
55,2019-01-05,Austin (TX),AAA Batteries (4-pack),9,2019,1,5,5,5.0,
54,2019-01-05,Atlanta (GA),ThinkPad Laptop,1,2019,1,5,5,1.0,
53,2019-01-05,Atlanta (GA),AAA Batteries (4-pack),4,2019,1,5,5,3.0,
59,2019-01-05,Los Angeles (CA),AAA Batteries (4-pack),6,2019,1,5,5,3.0,
73,2019-01-06,San Francisco (CA),AAA Batteries (4-pack),12,2019,1,6,6,17.0,
74,2019-01-06,San Francisco (CA),ThinkPad Laptop,3,2019,1,6,6,3.0,
69,2019-01-06,Los Angeles (CA),AAA Batteries (4-pack),10,2019,1,6,6,6.0,
76,2019-01-06,Seattle (WA),ThinkPad Laptop,2,2019,1,6,6,2.0,
75,2019-01-06,Seattle (WA),AAA Batteries (4-pack),2,2019,1,6,6,1.0,
72,2019-01-06,Portland (OR),ThinkPad Laptop,1,2019,1,6,6,1.0,
67,2019-01-06,Boston (MA),AAA Batteries (4-pack),3,2019,1,6,6,7.0,
70,2019-01-06,New York City (NY),AAA Batteries (4-pack),5,2019,1,6,6,10.0,
68,2019-01-06,Dallas (TX),ThinkPad Laptop,1,2019,1,6,6,2.0,
66,2019-01-06,Austin (TX),AAA Batteries (4-pack),3,2019,1,6,6,9.0,
65,2019-01-06,Atlanta (GA),AAA Batteries (4-pack),9,2019,1,6,6,4.0,
71,2019-01-06,Portland (OR),AAA Batteries (4-pack),1,2019,1,6,6,1.0,
87,2019-01-07,San Francisco (CA),ThinkPad Laptop,2,2019,1,7,0,3.0,
86,2019-01-07,San Francisco (CA),AAA Batteries (4-pack),6,2019,1,7,0,12.0,
85,2019-01-07,New York City (NY),ThinkPad Laptop,2,2019,1,7,0,1.0,
84,2019-01-07,New York City (NY),AAA Batteries (4-pack),12,2019,1,7,0,5.0,
83,2019-01-07,Los Angeles (CA),ThinkPad Laptop,1,2019,1,7,0,2.0,
80,2019-01-07,Boston (MA),AAA Batteries (4-pack),10,2019,1,7,0,3.0,
81,2019-01-07,Dallas (TX),AAA Batteries (4-pack),6,2019,1,7,0,9.0,
79,2019-01-07,Austin (TX),AAA Batteries (4-pack),4,2019,1,7,0,3.0,
78,2019-01-07,Atlanta (GA),ThinkPad Laptop,2,2019,1,7,0,1.0,
77,2019-01-07,Atlanta (GA),AAA Batteries (4-pack),9,2019,1,7,0,9.0,
82,2019-01-07,Los Angeles (CA),AAA Batteries (4-pack),3,2019,1,7,0,10.0,
96,2019-01-08,San Francisco (CA),AAA Batteries (4-pack),5,2019,1,8,1,6.0,18.0
97,2019-01-08,San Francisco (CA),ThinkPad Laptop,1,2019,1,8,1,2.0,2.0
95,2019-01-08,New York City (NY),AAA Batteries (4-pack),5,2019,1,8,1,12.0,3.0
99,2019-01-08,Seattle (WA),ThinkPad Laptop,2,2019,1,8,1,2.0,
98,2019-01-08,Seattle (WA),AAA Batteries (4-pack),3,2019,1,8,1,2.0,
94,2019-01-08,Los Angeles (CA),ThinkPad Laptop,2,2019,1,8,1,1.0,
88,2019-01-08,Atlanta (GA),AAA Batteries (4-pack),9,2019,1,8,1,9.0,3.0
92,2019-01-08,Dallas (TX),AAA Batteries (4-pack),4,2019,1,8,1,6.0,
91,2019-01-08,Boston (MA),ThinkPad Laptop,1,2019,1,8,1,1.0,
90,2019-01-08,Boston (MA),AAA Batteries (4-pack),8,2019,1,8,1,10.0,6.0
89,2019-01-08,Austin (TX),AAA Batteries (4-pack),3,2019,1,8,1,4.0,
93,2019-01-08,Los Angeles (CA),AAA Batteries (4-pack),16,2019,1,8,1,3.0,8.0
113,2019-01-09,Seattle (WA),ThinkPad Laptop,1,2019,1,9,2,2.0,
112,2019-01-09,Seattle (WA),AAA Batteries (4-pack),5,2019,1,9,2,3.0,10.0
111,2019-01-09,San Francisco (CA),AAA Batteries (4-pack),10,2019,1,9,2,5.0,5.0
110,2019-01-09,Portland (OR),AAA Batteries (4-pack),1,2019,1,9,2,1.0,
109,2019-01-09,Portland (ME),AAA Batteries (4-pack),2,2019,1,9,2,1.0,
107,2019-01-09,Los Angeles (CA),ThinkPad Laptop,1,2019,1,9,2,2.0,
108,2019-01-09,New York City (NY),AAA Batteries (4-pack),13,2019,1,9,2,5.0,8.0
105,2019-01-09,Dallas (TX),AAA Batteries (4-pack),1,2019,1,9,2,4.0,5.0
104,2019-01-09,Boston (MA),ThinkPad Laptop,1,2019,1,9,2,1.0,
103,2019-01-09,Boston (MA),AAA Batteries (4-pack),8,2019,1,9,2,8.0,4.0
102,2019-01-09,Austin (TX),AAA Batteries (4-pack),1,2019,1,9,2,3.0,
101,2019-01-09,Atlanta (GA),ThinkPad Laptop,1,2019,1,9,2,2.0,
100,2019-01-09,Atlanta (GA),AAA Batteries (4-pack),4,2019,1,9,2,9.0,3.0
106,2019-01-09,Los Angeles (CA),AAA Batteries (4-pack),10,2019,1,9,2,16.0,9.0
123,2019-01-10,New York City (NY),AAA Batteries (4-pack),7,2019,1,10,3,13.0,6.0
128,2019-01-10,San Francisco (CA),ThinkPad Laptop,2,2019,1,10,3,1.0,3.0
129,2019-01-10,Seattle (WA),AAA Batteries (4-pack),10,2019,1,10,3,5.0,2.0
127,2019-01-10,San Francisco (CA),AAA Batteries (4-pack),11,2019,1,10,3,10.0,12.0
126,2019-01-10,Portland (OR),ThinkPad Laptop,1,2019,1,10,3,1.0,
125,2019-01-10,Portland (OR),AAA Batteries (4-pack),1,2019,1,10,3,1.0,
124,2019-01-10,New York City (NY),ThinkPad Laptop,1,2019,1,10,3,2.0,
122,2019-01-10,Los Angeles (CA),ThinkPad Laptop,1,2019,1,10,3,1.0,5.0
115,2019-01-10,Atlanta (GA),ThinkPad Laptop,1,2019,1,10,3,1.0,
120,2019-01-10,Dallas (TX),AAA Batteries (4-pack),2,2019,1,10,3,1.0,3.0
119,2019-01-10,Boston (MA),ThinkPad Laptop,1,2019,1,10,3,1.0,
118,2019-01-10,Boston (MA),AAA Batteries (4-pack),5,2019,1,10,3,8.0,10.0
117,2019-01-10,Austin (TX),ThinkPad Laptop,1,2019,1,10,3,1.0,
116,2019-01-10,Austin (TX),AAA Batteries (4-pack),1,2019,1,10,3,1.0,7.0
114,2019-01-10,Atlanta (GA),AAA Batteries (4-pack),4,2019,1,10,3,4.0,2.0
121,2019-01-10,Los Angeles (CA),AAA Batteries (4-pack),6,2019,1,10,3,10.0,2.0
144,2019-01-11,Seattle (WA),AAA Batteries (4-pack),2,2019,1,11,4,10.0,6.0
143,2019-01-11,San Francisco (CA),ThinkPad Laptop,2,2019,1,11,4,2.0,2.0
142,2019-01-11,San Francisco (CA),AAA Batteries (4-pack),14,2019,1,11,4,11.0,14.0
141,2019-01-11,Portland (OR),AAA Batteries (4-pack),3,2019,1,11,4,1.0,
140,2019-01-11,Portland (ME),ThinkPad Laptop,1,2019,1,11,4,,
139,2019-01-11,New York City (NY),ThinkPad Laptop,1,2019,1,11,4,1.0,
138,2019-01-11,New York City (NY),AAA Batteries (4-pack),3,2019,1,11,4,7.0,6.0
135,2019-01-11,Dallas (TX),ThinkPad Laptop,2,2019,1,11,4,1.0,
136,2019-01-11,Los Angeles (CA),AAA Batteries (4-pack),1,2019,1,11,4,6.0,3.0
134,2019-01-11,Dallas (TX),AAA Batteries (4-pack),3,2019,1,11,4,2.0,2.0
133,2019-01-11,Boston (MA),AAA Batteries (4-pack),2,2019,1,11,4,5.0,7.0
132,2019-01-11,Austin (TX),AAA Batteries (4-pack),5,2019,1,11,4,1.0,5.0
131,2019-01-11,Atlanta (GA),ThinkPad Laptop,2,2019,1,11,4,1.0,
130,2019-01-11,Atlanta (GA),AAA Batteries (4-pack),8,2019,1,11,4,4.0,3.0
137,2019-01-11,Los Angeles (CA),ThinkPad Laptop,3,2019,1,11,4,1.0,2.0
156,2019-01-12,San Francisco (CA),ThinkPad Laptop,1,2019,1,12,5,2.0,2.0
155,2019-01-12,San Francisco (CA),AAA Batteries (4-pack),22,2019,1,12,5,14.0,17.0
154,2019-01-12,Portland (OR),AAA Batteries (4-pack),2,2019,1,12,5,3.0,1.0
153,2019-01-12,New York City (NY),AAA Batteries (4-pack),10,2019,1,12,5,3.0,10.0
152,2019-01-12,Los Angeles (CA),ThinkPad Laptop,1,2019,1,12,5,3.0,1.0
151,2019-01-12,Los Angeles (CA),AAA Batteries (4-pack),14,2019,1,12,5,1.0,6.0
157,2019-01-12,Seattle (WA),ThinkPad Laptop,1,2019,1,12,5,1.0,
149,2019-01-12,Boston (MA),ThinkPad Laptop,1,2019,1,12,5,1.0,
148,2019-01-12,Boston (MA),AAA Batteries (4-pack),8,2019,1,12,5,2.0,7.0
147,2019-01-12,Austin (TX),AAA Batteries (4-pack),1,2019,1,12,5,5.0,9.0
146,2019-01-12,Atlanta (GA),ThinkPad Laptop,4,2019,1,12,5,2.0,1.0
145,2019-01-12,Atlanta (GA),AAA Batteries (4-pack),7,2019,1,12,5,8.0,4.0
150,2019-01-12,Dallas (TX),AAA Batteries (4-pack),3,2019,1,12,5,3.0,3.0
169,2019-01-13,Seattle (WA),AAA Batteries (4-pack),4,2019,1,13,6,2.0,3.0
168,2019-01-13,San Francisco (CA),ThinkPad Laptop,1,2019,1,13,6,1.0,3.0
167,2019-01-13,San Francisco (CA),AAA Batteries (4-pack),21,2019,1,13,6,22.0,12.0
166,2019-01-13,Portland (OR),AAA Batteries (4-pack),3,2019,1,13,6,2.0,4.0
165,2019-01-13,Portland (ME),AAA Batteries (4-pack),1,2019,1,13,6,2.0,
164,2019-01-13,New York City (NY),AAA Batteries (4-pack),5,2019,1,13,6,10.0,5.0
162,2019-01-13,Dallas (TX),ThinkPad Laptop,1,2019,1,13,6,2.0,
161,2019-01-13,Dallas (TX),AAA Batteries (4-pack),14,2019,1,13,6,3.0,9.0
160,2019-01-13,Boston (MA),AAA Batteries (4-pack),3,2019,1,13,6,8.0,3.0
159,2019-01-13,Austin (TX),AAA Batteries (4-pack),4,2019,1,13,6,1.0,3.0
158,2019-01-13,Atlanta (GA),AAA Batteries (4-pack),1,2019,1,13,6,7.0,9.0
163,2019-01-13,Los Angeles (CA),AAA Batteries (4-pack),10,2019,1,13,6,14.0,10.0
178,2019-01-14,New York City (NY),AAA Batteries (4-pack),5,2019,1,14,0,5.0,12.0
183,2019-01-14,Seattle (WA),AAA Batteries (4-pack),10,2019,1,14,0,4.0,1.0
182,2019-01-14,San Francisco (CA),AAA Batteries (4-pack),12,2019,1,14,0,21.0,6.0
181,2019-01-14,Portland (OR),AAA Batteries (4-pack),1,2019,1,14,0,3.0,1.0
180,2019-01-14,Portland (ME),AAA Batteries (4-pack),1,2019,1,14,0,1.0,
179,2019-01-14,New York City (NY),ThinkPad Laptop,1,2019,1,14,0,1.0,
177,2019-01-14,Los Angeles (CA),ThinkPad Laptop,1,2019,1,14,0,1.0,2.0
170,2019-01-14,Atlanta (GA),AAA Batteries (4-pack),2,2019,1,14,0,1.0,9.0
175,2019-01-14,Boston (MA),ThinkPad Laptop,1,2019,1,14,0,1.0,1.0
174,2019-01-14,Boston (MA),AAA Batteries (4-pack),8,2019,1,14,0,3.0,10.0
173,2019-01-14,Austin (TX),ThinkPad Laptop,1,2019,1,14,0,1.0,
172,2019-01-14,Austin (TX),AAA Batteries (4-pack),5,2019,1,14,0,4.0,4.0
171,2019-01-14,Atlanta (GA),ThinkPad Laptop,2,2019,1,14,0,4.0,1.0
176,2019-01-14,Los Angeles (CA),AAA Batteries (4-pack),8,2019,1,14,0,10.0,3.0
198,2019-01-15,Seattle (WA),ThinkPad Laptop,1,2019,1,15,1,1.0,
197,2019-01-15,Seattle (WA),AAA Batteries (4-pack),2,2019,1,15,1,10.0,2.0
196,2019-01-15,San Francisco (CA),ThinkPad Laptop,1,2019,1,15,1,1.0,3.0
195,2019-01-15,San Francisco (CA),AAA Batteries (4-pack),9,2019,1,15,1,12.0,5.0
194,2019-01-15,Portland (OR),ThinkPad Laptop,2,2019,1,15,1,1.0,
193,2019-01-15,Portland (ME),AAA Batteries (4-pack),2,2019,1,15,1,1.0,
192,2019-01-15,New York City (NY),ThinkPad Laptop,2,2019,1,15,1,1.0,
191,2019-01-15,New York City (NY),AAA Batteries (4-pack),14,2019,1,15,1,5.0,5.0
190,2019-01-15,Los Angeles (CA),AAA Batteries (4-pack),11,2019,1,15,1,8.0,16.0
189,2019-01-15,Dallas (TX),ThinkPad Laptop,1,2019,1,15,1,1.0,
188,2019-01-15,Dallas (TX),AAA Batteries (4-pack),4,2019,1,15,1,14.0,6.0
187,2019-01-15,Boston (MA),AAA Batteries (4-pack),2,2019,1,15,1,8.0,8.0
186,2019-01-15,Austin (TX),AAA Batteries (4-pack),3,2019,1,15,1,5.0,3.0
185,2019-01-15,Atlanta (GA),ThinkPad Laptop,1,2019,1,15,1,2.0,1.0
184,2019-01-15,Atlanta (GA),AAA Batteries (4-pack),5,2019,1,15,1,2.0,9.0
213,2019-01-16,Seattle (WA),AAA Batteries (4-pack),3,2019,1,16,2,2.0,3.0
212,2019-01-16,San Francisco (CA),AAA Batteries (4-pack),11,2019,1,16,2,9.0,10.0
211,2019-01-16,Portland (OR),ThinkPad Laptop,1,2019,1,16,2,2.0,
210,2019-01-16,Portland (OR),AAA Batteries (4-pack),1,2019,1,16,2,1.0,1.0
209,2019-01-16,New York City (NY),ThinkPad Laptop,1,2019,1,16,2,2.0,1.0
208,2019-01-16,New York City (NY),AAA Batteries (4-pack),10,2019,1,16,2,14.0,13.0
207,2019-01-16,Los Angeles (CA),ThinkPad Laptop,1,2019,1,16,2,1.0,1.0
199,2019-01-16,Atlanta (GA),AAA Batteries (4-pack),4,2019,1,16,2,5.0,4.0
205,2019-01-16,Dallas (TX),ThinkPad Laptop,2,2019,1,16,2,1.0,
204,2019-01-16,Dallas (TX),AAA Batteries (4-pack),7,2019,1,16,2,4.0,4.0
203,2019-01-16,Boston (MA),ThinkPad Laptop,1,2019,1,16,2,1.0,1.0
202,2019-01-16,Boston (MA),AAA Batteries (4-pack),7,2019,1,16,2,2.0,8.0
201,2019-01-16,Austin (TX),AAA Batteries (4-pack),2,2019,1,16,2,3.0,1.0
200,2019-01-16,Atlanta (GA),ThinkPad Laptop,1,2019,1,16,2,1.0,2.0
206,2019-01-16,Los Angeles (CA),AAA Batteries (4-pack),8,2019,1,16,2,11.0,10.0
224,2019-01-17,New York City (NY),ThinkPad Laptop,1,2019,1,17,3,1.0,1.0
229,2019-01-17,Seattle (WA),AAA Batteries (4-pack),1,2019,1,17,3,3.0,5.0
228,2019-01-17,San Francisco (CA),ThinkPad Laptop,1,2019,1,17,3,1.0,2.0
227,2019-01-17,San Francisco (CA),AAA Batteries (4-pack),13,2019,1,17,3,11.0,11.0
226,2019-01-17,Portland (OR),ThinkPad Laptop,1,2019,1,17,3,1.0,
225,2019-01-17,Portland (OR),AAA Batteries (4-pack),2,2019,1,17,3,1.0,1.0
230,2019-01-17,Seattle (WA),ThinkPad Laptop,1,2019,1,17,3,1.0,
223,2019-01-17,New York City (NY),AAA Batteries (4-pack),5,2019,1,17,3,10.0,7.0
219,2019-01-17,Dallas (TX),AAA Batteries (4-pack),3,2019,1,17,3,7.0,1.0
221,2019-01-17,Los Angeles (CA),AAA Batteries (4-pack),9,2019,1,17,3,8.0,6.0
220,2019-01-17,Dallas (TX),ThinkPad Laptop,1,2019,1,17,3,2.0,1.0
218,2019-01-17,Boston (MA),AAA Batteries (4-pack),9,2019,1,17,3,7.0,5.0
217,2019-01-17,Austin (TX),ThinkPad Laptop,1,2019,1,17,3,1.0,
216,2019-01-17,Austin (TX),AAA Batteries (4-pack),2,2019,1,17,3,2.0,1.0
215,2019-01-17,Atlanta (GA),ThinkPad Laptop,2,2019,1,17,3,1.0,1.0
214,2019-01-17,Atlanta (GA),AAA Batteries (4-pack),3,2019,1,17,3,4.0,4.0
222,2019-01-17,Los Angeles (CA),ThinkPad Laptop,2,2019,1,17,3,1.0,2.0
238,2019-01-18,Seattle (WA),AAA Batteries (4-pack),7,2019,1,18,4,1.0,10.0
237,2019-01-18,San Francisco (CA),AAA Batteries (4-pack),12,2019,1,18,4,13.0,14.0
236,2019-01-18,Portland (OR),AAA Batteries (4-pack),6,2019,1,18,4,2.0,1.0
235,2019-01-18,New York City (NY),AAA Batteries (4-pack),1,2019,1,18,4,5.0,3.0
234,2019-01-18,Los Angeles (CA),AAA Batteries (4-pack),8,2019,1,18,4,9.0,1.0
233,2019-01-18,Dallas (TX),AAA Batteries (4-pack),4,2019,1,18,4,3.0,2.0
232,2019-01-18,Boston (MA),AAA Batteries (4-pack),1,2019,1,18,4,9.0,2.0
231,2019-01-18,Austin (TX),AAA Batteries (4-pack),5,2019,1,18,4,2.0,5.0
252,2019-01-19,Seattle (WA),AAA Batteries (4-pack),9,2019,1,19,5,7.0,2.0
251,2019-01-19,San Francisco (CA),ThinkPad Laptop,1,2019,1,19,5,1.0,1.0
253,2019-01-19,Seattle (WA),ThinkPad Laptop,1,2019,1,19,5,1.0,2.0
250,2019-01-19,San Francisco (CA),AAA Batteries (4-pack),17,2019,1,19,5,12.0,22.0
249,2019-01-19,Portland (OR),ThinkPad Laptop,2,2019,1,19,5,1.0,
248,2019-01-19,Portland (OR),AAA Batteries (4-pack),1,2019,1,19,5,6.0,3.0
247,2019-01-19,Portland (ME),ThinkPad Laptop,1,2019,1,19,5,1.0,
241,2019-01-19,Austin (TX),AAA Batteries (4-pack),1,2019,1,19,5,5.0,1.0
245,2019-01-19,Los Angeles (CA),AAA Batteries (4-pack),4,2019,1,19,5,8.0,14.0
244,2019-01-19,Dallas (TX),ThinkPad Laptop,1,2019,1,19,5,1.0,2.0
243,2019-01-19,Dallas (TX),AAA Batteries (4-pack),2,2019,1,19,5,4.0,3.0
242,2019-01-19,Boston (MA),AAA Batteries (4-pack),7,2019,1,19,5,1.0,8.0
240,2019-01-19,Atlanta (GA),ThinkPad Laptop,1,2019,1,19,5,2.0,1.0
239,2019-01-19,Atlanta (GA),AAA Batteries (4-pack),5,2019,1,19,5,3.0,8.0
246,2019-01-19,New York City (NY),AAA Batteries (4-pack),4,2019,1,19,5,1.0,10.0
267,2019-01-20,Seattle (WA),ThinkPad Laptop,1,2019,1,20,6,1.0,2.0
266,2019-01-20,Seattle (WA),AAA Batteries (4-pack),4,2019,1,20,6,9.0,4.0
265,2019-01-20,San Francisco (CA),ThinkPad Laptop,2,2019,1,20,6,1.0,2.0
264,2019-01-20,San Francisco (CA),AAA Batteries (4-pack),17,2019,1,20,6,17.0,21.0
263,2019-01-20,New York City (NY),ThinkPad Laptop,2,2019,1,20,6,1.0,2.0
262,2019-01-20,New York City (NY),AAA Batteries (4-pack),11,2019,1,20,6,4.0,5.0
261,2019-01-20,Los Angeles (CA),ThinkPad Laptop,2,2019,1,20,6,2.0,1.0
259,2019-01-20,Dallas (TX),ThinkPad Laptop,1,2019,1,20,6,1.0,1.0
258,2019-01-20,Dallas (TX),AAA Batteries (4-pack),7,2019,1,20,6,2.0,3.0
254,2019-01-20,Atlanta (GA),AAA Batteries (4-pack),5,2019,1,20,6,5.0,7.0
255,2019-01-20,Atlanta (GA),ThinkPad Laptop,2,2019,1,20,6,1.0,2.0
260,2019-01-20,Los Angeles (CA),AAA Batteries (4-pack),7,2019,1,20,6,4.0,10.0
257,2019-01-20,Boston (MA),AAA Batteries (4-pack),2,2019,1,20,6,7.0,3.0
256,2019-01-20,Austin (TX),AAA Batteries (4-pack),4,2019,1,20,6,1.0,4.0
280,2019-01-21,San Francisco (CA),AAA Batteries (4-pack),9,2019,1,21,0,17.0,12.0
279,2019-01-21,Portland (OR),ThinkPad Laptop,1,2019,1,21,0,2.0,1.0
278,2019-01-21,Portland (OR),AAA Batteries (4-pack),4,2019,1,21,0,1.0,2.0
277,2019-01-21,Portland (ME),AAA Batteries (4-pack),1,2019,1,21,0,2.0,
275,2019-01-21,New York City (NY),AAA Batteries (4-pack),6,2019,1,21,0,11.0,5.0
274,2019-01-21,Los Angeles (CA),ThinkPad Laptop,1,2019,1,21,0,2.0,1.0
276,2019-01-21,New York City (NY),ThinkPad Laptop,1,2019,1,21,0,2.0,1.0
272,2019-01-21,Dallas (TX),AAA Batteries (4-pack),5,2019,1,21,0,7.0,14.0
271,2019-01-21,Boston (MA),ThinkPad Laptop,1,2019,1,21,0,1.0,1.0
270,2019-01-21,Boston (MA),AAA Batteries (4-pack),8,2019,1,21,0,2.0,8.0
269,2019-01-21,Atlanta (GA),ThinkPad Laptop,2,2019,1,21,0,2.0,4.0
268,2019-01-21,Atlanta (GA),AAA Batteries (4-pack),3,2019,1,21,0,5.0,1.0
273,2019-01-21,Los Angeles (CA),AAA Batteries (4-pack),8,2019,1,21,0,7.0,8.0
289,2019-01-22,New York City (NY),AAA Batteries (4-pack),5,2019,1,22,1,6.0,14.0
293,2019-01-22,San Francisco (CA),ThinkPad Laptop,1,2019,1,22,1,2.0,2.0
292,2019-01-22,San Francisco (CA),AAA Batteries (4-pack),15,2019,1,22,1,9.0,9.0
294,2019-01-22,Seattle (WA),AAA Batteries (4-pack),1,2019,1,22,1,4.0,10.0
291,2019-01-22,Portland (OR),AAA Batteries (4-pack),1,2019,1,22,1,4.0,3.0
290,2019-01-22,New York City (NY),ThinkPad Laptop,1,2019,1,22,1,1.0,1.0
288,2019-01-22,Los Angeles (CA),ThinkPad Laptop,1,2019,1,22,1,1.0,3.0
283,2019-01-22,Austin (TX),AAA Batteries (4-pack),4,2019,1,22,1,4.0,5.0
286,2019-01-22,Dallas (TX),ThinkPad Laptop,1,2019,1,22,1,1.0,2.0
285,2019-01-22,Dallas (TX),AAA Batteries (4-pack),5,2019,1,22,1,5.0,4.0
284,2019-01-22,Boston (MA),AAA Batteries (4-pack),9,2019,1,22,1,8.0,2.0
282,2019-01-22,Atlanta (GA),ThinkPad Laptop,3,2019,1,22,1,2.0,2.0
287,2019-01-22,Los Angeles (CA),AAA Batteries (4-pack),14,2019,1,22,1,8.0,11.0
281,2019-01-22,Atlanta (GA),AAA Batteries (4-pack),7,2019,1,22,1,3.0,2.0
302,2019-01-23,New York City (NY),ThinkPad Laptop,2,2019,1,23,2,1.0,1.0
